tag_year,tag_month,month_first_date,month_relative_int,budget_category,budget_monthly_amount,budget_mtd_amount,budget_daily_average_amount,actual_monthly_amount,actual_daily_average_amount,actual_daily_average_remaining_amount,actual_pre_month_amount,delta_monthly_amount,delta_daily_average_amount,budget_sort_order,budget_envelope_amount,actual_envelope_amount,envelope_in_amount,envelope_out_amount
2024,"2024-10","2024-10-01",-6,"Annual",200.0000000000000000,141,6,3,0,1,0,-194.0000000000000000,-6,1,200.0000000000000000,3,0,197.0000000000000000
2024,"2024-11","2024-11-01",-5,"Annual",200.0000000000000000,146,6,72,4,1,4,-56.0000000000000000,2,1,400.0000000000000000,75,197.0000000000000000,325.0000000000000000
2024,"2024-12","2024-12-01",-4,"Annual",200.0000000000000000,141,6,69,3,1,4,-62.0000000000000000,0,1,600.0000000000000000,144,325.0000000000000000,456.0000000000000000
2024,"2024-10","2024-10-01",-6,"Eat Out",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,6,100.0000000000000000,0,0,100.0000000000000000
2024,"2024-11","2024-11-01",-5,"Eat Out",100.0000000000000000,73,3,132,7,0,0,164.0000000000000000,11,6,200.0000000000000000,132,100.0000000000000000,68.0000000000000000
2024,"2024-12","2024-12-01",-4,"Eat Out",100.0000000000000000,71,3,94,5,0,0,88.0000000000000000,7,6,300.0000000000000000,226,68.0000000000000000,74.0000000000000000
2024,"2024-10","2024-10-01",-6,"Entertainment",75.0000000000000000,53,2,0,0,0,0,-75.0000000000000000,-2,5,75.0000000000000000,0,0,75.0000000000000000
2024,"2024-11","2024-11-01",-5,"Entertainment",75.0000000000000000,55,2,41,2,0,0,7.0000000000000000,2,5,150.0000000000000000,41,75.0000000000000000,109.0000000000000000
2024,"2024-12","2024-12-01",-4,"Entertainment",75.0000000000000000,53,2,39,2,0,4,3.0000000000000000,2,5,225.0000000000000000,80,109.0000000000000000,145.0000000000000000
2024,"2024-10","2024-10-01",-6,"Grocery",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,7,100.0000000000000000,0,0,100.0000000000000000
2024,"2024-11","2024-11-01",-5,"Grocery",100.0000000000000000,73,3,104,5,0,0,108.0000000000000000,7,7,200.0000000000000000,104,100.0000000000000000,96.0000000000000000
